Slider,x,first,second
1986,'Denmark',110.720962,0.0
1986,'Finland',0.0,83.529726
1986,'France',296.394154,0.0
1986,'Germany',539.033266,0.0
1986,'India',0.0,3003.947484
1986,'Italy',48.874532,0.0
1986,'Japan',1341.662477,130.559708
1986,'Korea',0.0,119.590826
1986,'Kuwait',84.167688,0.0
1986,'Netherlands',379.878579,0.0
1986,'Norway',9.848663,0.0
1986,'Poland',0.0,7.204596
1986,'Portugal',0.0,21.863247
1986,'Saudi Arabia',35.99622,36.516861
1986,'Sweden',198.445181,0.0
1986,'Switzerland',35.598036,0.0
1986,'Taiwan',0.0,21.795291
1986,'Thailand',0.0,762.121484
1986,'United Kingdom',227.395004,0.0
1986,'United States',1334.668057,0.0
1987,'Australia',18.309923,0.0
1987,'Austria',0.077374,0.0
1987,'Brazil',0.0,688.641987
1987,'Canada',331.152346,0.0
1987,'Chile',0.0,62.625327
1987,'Colombia',0.0,74.058995
1987,'Cyprus',0.0,29.088415
1987,'Denmark',149.837777,0.0
1987,'Finland',1.482877,0.0
1987,'France',254.311333,0.0
1987,'Germany',788.04073,0.0
1987,'India',0.0,4191.375895
1987,'Italy',282.071099,0.0
1987,'Japan',1770.174669,525.123264
1987,'Korea',0.0,482.793059
1987,'Netherlands',573.020364,0.0
1987,'Norway',244.641035,0.0
1987,'Saudi Arabia',72.707674,0.0
1987,'South Africa',0.0,105.825534
1987,'Sweden',72.374249,0.0
1987,'Switzerland',87.982342,0.0
1987,'Taiwan',0.0,14.965414
1987,'Thailand',0.0,1016.033769
1987,'United Arab Emirates',0.0,131.76027
1987,'United Kingdom',829.894066,0.0
1987,'United States',1846.214071,0.0
1988,'Australia',1.75835,0.0
1988,'Austria',0.400964,0.0
1988,'Brazil',0.0,319.508348
1988,'Canada',149.433255,0.0
1988,'Chile',0.0,73.33155
1988,'Colombia',0.0,234.020126
1988,'Cyprus',0.0,60.836704
1988,'Denmark',119.57781,0.0
1988,'Finland',0.447649,0.0
1988,'France',274.04047,0.0
1988,'Germany',757.183394,0.0
1988,'Greece',0.0,37.727914
1988,'India',0.0,3844.238228
1988,'Italy',116.403581,0.0
1988,'Japan',3320.238368,0.0
1988,'Korea',0.0,438.174916
1988,'Kuwait',43.914563,30.421288
1988,'Netherlands',277.081548,0.0
1988,'Norway',20.840875,0.0
1988,'Poland',0.0,11.464751
1988,'Portugal',0.0,2.538321
1988,'Qatar',0.0,9.137956
1988,'Saudi Arabia',0.0,42.431775
1988,'South Africa',0.0,0.110849
1988,'Sweden',185.535976,0.0
1988,'Switzerland',32.738889,0.0
1988,'Taiwan',0.0,29.459009
1988,'Thailand',0.0,1297.612686
1988,'United Kingdom',80.251575,0.0
1988,'United States',1051.167154,0.0
1989,'Australia',163.270223,0.0
1989,'Austria',18.299145,0.0
1989,'Belgium',183.930257,0.0
1989,'Brazil',0.0,470.795753
1989,'Canada',95.861356,1.961661
1989,'Chile',0.0,152.22926
1989,'Colombia',0.0,200.318505
1989,'Cyprus',0.0,32.61281
1989,'Denmark',133.430275,0.0
1989,'Finland',16.60855,0.0
1989,'France',469.783071,0.0
1989,'Germany',3020.847013,0.0
1989,'Hungary',0.0,1.48225
1989,'India',0.0,3091.093501
1989,'Italy',112.626078,0.0
1989,'Japan',582.793544,0.0
1989,'Korea',0.0,233.488453
1989,'Kuwait',43.493083,0.0
1989,'Liechtenstein',0.011161,0.0
1989,'Netherlands',472.821276,0.0
1989,'Norway',51.903997,0.0
1989,'Poland',0.0,2608.739881
1989,'Qatar',0.0,2.9491
1989,'Romania',0.0,5.092048
1989,'South Africa',0.0,320.399942
1989,'Spain',100.535177,0.0
1989,'Sweden',946.284591,0.0
1989,'Switzerland',75.386666,0.0
1989,'Taiwan',0.0,75.026666
1989,'Thailand',0.0,626.032718
1989,'United Kingdom',269.229353,0.0
1989,'United States',1065.107732,0.0
1990,'Australia',93.432068,0.0
1990,'Austria',3.458667,0.0
1990,'Belgium',187.058124,0.0
1990,'Brazil',0.0,546.41016
1990,'Canada',146.349,0.0
1990,'Chile',0.0,260.281186
1990,'Colombia',0.0,539.309295
1990,'Cyprus',0.0,11.768247
1990,'Czech Republic',0.0,0.549039
1990,'Denmark',58.616306,0.0
1990,'Finland',4.220992,0.0
1990,'France',586.988135,0.0
1990,'Germany',3382.157543,0.0
1990,'Hungary',0.0,315.616677
1990,'India',0.0,2036.236423
1990,'Ireland',0.0,46.238132
1990,'Italy',136.489843,0.0
